分類,金額,割合
義務教育,16800,30.17241379310345
高等教育,14500,26.041666666666668
科学技術研究,13200,23.70689655172414
文化振興,4300,7.722701149425287
スポーツ振興,3200,5.747126436781609
その他教育,3680,6.609195402298851
