分類,金額,割合
人件・糧食費,22100,31.539888682745826
装備品等購入費,21500,30.683602112173542
研究開発費,8700,12.41615527329813
基地対策費,4800,6.85029256457828
施設整備費,7200,10.275438846867418
その他防衛費,5770,8.234622520336805
