分類,金額,割合
社会保障,389010,34.54795737122558
国債費,255240,22.66785079928952
地方交付税交付金等,170830,15.171403197158082
公共事業,73110,6.492895204262878
文教及び科学振興,55680,4.9449378330373
防衛,70070,6.2229129662522205
その他,112060,9.952042628774423
